"";"ABBREVIAT";"SPECIES_NR";"LETTERCODE";"RANG";"GRUPPE";"TaxonName";"STATUS_D";"N";"F";"T";"AR";"HEIMAT";"HÄUFIGK";"GEF2006";"FSKNR";"GLOB_RBD";"NAT_RBD";"UEREG_GEF";"RELEVANZ";"UEREG_BED";"HANDLUNG";"GEF1991";"RL_BALT";"RLD";"FFH_Anh";"BARTSCH";"TAX_Ind";"TAX_Bew";"RLPGMV";"FFH1";"FFH2";"FFH3";"FFH4";"FFH_FSP_1";"FFH_FSP_2";"BIOTOP";"BioNr";"BioCode";"BioName";"Para20";"StandCode";"BioTyp1";"BioTyp2";"BioTyp3";"HLRT_WM";"Massn_1";"Massn_2";"Massn_3";"Instrument"
"1989";"Sisymbrium irio";5646;"SSYMIRI";"SPE";"S";"Sisymbrium irio";"";"4b";3;3;"";"Mittelmeergebiet bis Indien und Abessinien";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1990";"Sisymbrium loeselii";5647;"SSYMLOE";"SPE";"S";"Sisymbrium loeselii";"N";"3";3;3;"";"AS, SO-EUR bis Wiener Becken";"z <";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1991";"Sisymbrium officinale";5648;"SSYMOFF";"SPE";"S";"Sisymbrium officinale";"A";"3";2;2;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1992";"Sisymbrium orientale";5649;"SSYMORI";"SPE";"S";"Sisymbrium orientale";"N";"4b";3;3;"";"Mittelmeergebiet, pontisches Gebiet bis W-Himalaja";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1993";"Sisymbrium runcinatum";93841;"SSYMRUN";"SPE";"S";"Sisymbrium runcinatum";"I";"4b";3;3;"";"Mittelmeergebiet";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1994";"Sisymbrium supinum";5653;"SSYMSUP";"SPE";"S";"Sisymbrium supinum";"";"4b";3;3;"";"atl. W-EUR, Öland, Gotland, Balt. Inseln und angrenzendes Festland";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"Sisymbrium volgense";5654;"SSYMVOL";"SPE";"S";"Sisymbrium volgense";"N";"3";3;3;"";"unterer Don, untere Wolga, Tatarensteppe";"ss";"u";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"Sium latifolium";5656;"SIUMLAT";"SPE";"S";"Sium latifolium";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"Solanum alatum";5663;"SLNAALA";"SPE";"S";"Solanum alatum";"";"4b";3;3;"";"S-EUR";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"3";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"Solanum americanum";7017;"SLNAAME";"SPE";"S";"Solanum americanum";"";"4b";3;3;"";"AM";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"Solanum carolinense";7018;"SLNACAR";"SPE";"S";"Solanum carolinense";"";"4b";3;3;"";"N-AM";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"Solanum citrullifolium";93845;"SLNACIT";"SPE";"S";"Solanum citrullifolium";"";"4b";3;3;"";"Mexiko, USA";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"Solanum dulcamara";5661;"SLNADUL";"SPE";"S";"Solanum dulcamara";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"Solanum elaeagnifolium";93846;"SLNAELA";"SPE";"S";"Solanum elaeagnifolium";"";"4b";3;3;"";"N-AM";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"Solanum nigrum subsp. nigrum";5666;"SLNANIG";"SSP";"S";"Solanum nigrum subsp. nigrum";"A";"3";3;2;"x";"";"v >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"Solanum nigrum subsp. schultesii";5667;"SLNADEC";"SSP";"S";"Solanum nigrum subsp. schultesii";"";"4b";3;3;"";"S-EUR";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"Solanum nodiflorum";93847;"SLNANOD";"SPE";"S";"Solanum nodiflorum";"";"4b";3;3;"";"AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"Solanum physalifolium";24094;"SLNAPHY";"SPE";"S";"Solanum physalifolium";"";"4b";3;3;"";"S-AM";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"Solanum reflexum";11082;"SLNAREF";"SPE";"S";"Solanum reflexum";"";"4b";3;3;"";"S-AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"Solanum rostratum";24097;"SLNAROS";"SPE";"S";"Solanum rostratum";"";"4b";3;3;"";"AM";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"Solanum sisymbriifolium";93849;"SLNASIS";"SPE";"S";"Solanum sisymbriifolium";"";"4b";3;3;"";"S-AM";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"Solanum sublobatum";5669;"SLNASUB";"SPE";"S";"Solanum sublobatum";"";"4b";3;3;"";"S-AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"Solanum tuberosum";7022;"SLNATUB";"SPE";"S";"Solanum tuberosum";"";"4b";4;3;"";"AM";"v verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"Solidago canadensis";5679;"SLDGCAN";"SPE";"S";"Solidago canadensis";"N";"2";4;3;"";"N-AM";"v <<";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2013";"Solidago gigantea";5680;"SLDGGIG";"SPE";"S";"Solidago gigantea";"N";"2";4;3;"";"N-AM";"v <<";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2014";"Solidago graminifolia";5681;"SLDGGRA";"SPE";"S";"Solidago graminifolia";"I";"4a";4;3;"";"N-AM";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2015";"Solidago virgaurea";5682;"SLDGVIR";"SPE";"S";"Solidago virgaurea";"I";"1";1;1;"x";"";"v >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2016";"Sonchus arvensis subsp. arvensis";5687;"SNCHA-A";"SSP";"S";"Sonchus arvensis subsp. arvensis";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017";"Sonchus arvensis subsp. uliginosus";5688;"SNCHA-U";"SSP";"S";"Sonchus arvensis subsp. uliginosus";"I";"1";1;1;"x";"";"z";"uu";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018";"Sonchus asper subsp. asper";5691;"SNCHE-A";"SSP";"S";"Sonchus asper";"I";"3";2;2;"x";"";"v >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019";"Sonchus oleraceus";5693;"SNCHOLE";"SPE";"S";"Sonchus oleraceus";"I";"3";2;2;"x";"";"g >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020";"Sonchus palustris";5694;"SNCHPAL";"SPE";"S";"Sonchus palustris";"I";"1";1;1;"NO x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2021";"Sorbaria sorbifolia";6636;"SRBRSOR";"SPE";"S";"Sorbaria sorbifolia";"I";"4a";4;3;"";"N-AS (Ural bis Kamtschatka und Japan)";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2022";"Sorbus aucuparia";5700;"SRBSAUC";"SPE";"S";"Sorbus aucuparia";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"Sorbus intermedia";5705;"SRBSINT";"SPE";"S";"Sorbus intermedia";"N";"1";1;1;"x";"";"s";"u";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"x";NA;NA;NA;NA;"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"Sorbus torminalis";5711;"SRBSTOR";"SPE";"S";"Sorbus torminalis";"I";"1";1;1;"NW x";"";"s";"2";NA;"";"";"";"";NA;"";"2";"2";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"Sorghum bicolor";5713;"SRGHBIC";"SPE";"S";"Sorghum bicolor";"";"4b";3;3;"";"vermutl. O-AFR";"s adventiv oder verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2026";"Sorghum halepense";5712;"SRGHHAL";"SPE";"S";"Sorghum halepense";"I";"4a";3;3;"";"vermutl. östl. Mittelmeergebiet, weltweit verbreitet und vielfach eingebürgert";"z adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2027";"Sparganium emersum";5715;"SPRGEME";"SPE";"S";"Sparganium emersum";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2028";"Sparganium erectum subsp. erectum";5717;"SPRGE-E";"SSP";"S";"Sparganium erectum subsp. erectum";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2029";"Sparganium erectum subsp. microcarpum";5718;"SPRGE-M";"SSP";"S";"Sparganium erectum subsp. microcarpum";"I";"1";1;1;"x";"";"s";"D";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2030";"Sparganium erectum subsp. neglectum";5719;"SPRGE-N";"SSP";"S";"Sparganium erectum subsp. neglectum";"I";"1";1;1;"x";"";"ss";"D";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2031";"Sparganium natans";24126;"SPRGNAT";"SPE";"S";"Sparganium natans";"I";"1";1;1;"x";"";"s, fr z";"2";173;"";"";"!";"";2;"!!";"2";"";2;"";"";8;"!!!";"K12";3160;NA;NA;NA;"";"";"xx";"5.8.2";"SBT";"Zwergteichrosen- und Wasserrosen-Schwimmblattflur";"§ 20, § 30";"(24.01), (24.02), (24.03)";"W20, W30";"";"";"B1";"Sicherung der Wasserqualität naturnaher Gewässer";"Gewässerschonende Nutzung";"";"WRRL, Schutzgebiete"
"2032";"Spergula arvensis subsp. arvensis";27060;"SPROA-A";"SSP";"S";"Spergula arvensis subsp. arvensis";"A";"3";3;2;"x";"";"v >, fr g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2033";"Spergula arvensis subsp. linicola";7036;"SPROA-L";"SSP";"S";"Spergula arvensis subsp. linicola";"A";"3";3;2;"x";"";"fr z, j ss adventiv";"0";NA;"";"";"";"";NA;"";"0";"0";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2034";"Spergula arvensis subsp. maxima";7037;"SPROA-M";"SSP";"S";"Spergula arvensis subsp. maxima";"";"4b";4;3;"fehlt";"";"ss verwildert oder adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2035";"Spergula arvensis subsp. sativa";7038;"SPROA-S";"SSP";"S";"Spergula arvensis subsp. sativa";"";"4a";4;3;"fehlt";"";"fr v verwildert, j ss advent";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2036";"Spergula morisonii";5731;"SPROMOR";"SPE";"S";"Spergula morisonii";"I";"1";1;1;"N x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2037";"Spergula pentandra";5732;"SPROPEN";"SPE";"S";"Spergula pentandra";"I";"1";1;1;"N Vp";"";"ss, fr vermutlich s";"1";74;"";"";"!!!";"";4;"!!!";"0";"1";3;"";"";6;"!!";"x";NA;NA;NA;NA;"6210";"";"";"8.3.1";"TKH";"Basiphiler Halbtrockenrasen";"§ 20";"34.02.01.02";"T22, L14";"";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"";"";"Naturschutzgerechte Grünlandnutzung, Landschaftspflege"
"2038";"Spergularia echinosperma";5733;"SPRIECH";"SPE";"S";"Spergularia echinosperma";"I";"1";1;1;"x";"";"s";"R";273;"!!";"";"";"";3;"(!!)";"2";"2";NA;"";"";5;"!!";"V08.1.2";3270;NA;NA;NA;"";"";"xx";"6.6.1";"VSF";"Flussuferflur";"(§ 20)";"39.04.01";"-";"";"";"B1";"Ungestörte Naturentwicklung naturnaher Uferbereiche";"Gewässerschonende Nutzung von Fließgewässerabschnitten";"";"WRRL, Landschaftsplanung"
"2039";"Spergularia media";5734;"SPRIMED";"SPE";"S";"Spergularia media";"I";"1";1;1;"O x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";5;"!!";"KD06,14";1310;1340;NA;NA;"";"";"xx";"3.4.2";"KGM";"Mesohalines Salzgrünland";"§ 20";"08.02, 08.05";"L15";"GHG, GHS, KGA, KGD, KGQ";"";"K4";"Pflegende Nutzung von Salzwiesen der Küste mit natürlichem Überflutungsregime";"";"";""
"2040";"Spergularia rubra";5735;"SPRIRUB";"SPE";"S";"Spergularia rubra";"A/I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2041";"Spergularia salina";5736;"SPRIMAR";"SPE";"S";"Spergularia salina";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";5;"!!";"O14.2";1330;1210;1310;1340;"";"";"xx";"3.4.6";"KGS";"Halophile Pionierflur, quellerarm";"§ 20";"8.04";"L15";"GHG, GHS, KGA, KGD, KGM, KGO, KGQ, KSB, KSJ, KSN, KSO";"";"K4";"Pflegende Nutzung von Salzwiesen der Küste mit natürlichem Überflutungsregime";"";"";""
"2042";"Spergularia segetalis";5737;"SPRISEG";"SPE";"S";"Spergularia segetalis";"I";"4b";3;3;"";"atl. W- und S-EUR";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";0;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2043";"Spiraea alba";6522;"SPIRALB";"SPE";"S";"Spiraea alba";"";"4a";4;3;"";"östl. N-AM";"z verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2044";"Spiraea chamaedryfolia";5739;"SPIRCHA";"SPE";"S";"Spiraea chamaedryfolia";"K#";"4b";4;3;"";"SO-EUR, W-Sibirien bis Mongolei";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2045";"Spiraea douglasii";7073;"SPIRDOU";"SPE";"S";"Spiraea douglasii";"";"4b";4;3;"";"pazif. N-AM";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2046";"Spiraea hypericifolia";7039;"SPIRHYP";"SPE";"S";"Spiraea hypericifolia";"";"4b";4;3;"";"N-Spanien und südl. Frankreich";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2047";"Spiranthes spiralis";5747;"SPRNSPI";"SPE";"S";"Spiranthes spiralis";"I";"3";2;2;"N Vp";"";"fr s";"0";NA;"";"";"!!!";"§";NA;"[!!!]";"0";"1";2;"";"§ C";NA;"(!)";"-";NA;NA;NA;NA;"6210";"";"";"8.3.1";"TKH";"Basiphiler Halbtrockenrasen";"§ 20";"34.02.01.02";"T22, L14";"";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"";"";"Naturschutzgerechte Grünlandnutzung, Landschaftspflege"
"2048";"Spirodela polyrhiza";5748;"SPRDPOL";"SPE";"S";"Spirodela polyrhiza";"I";"1";1;1;"x";"";"v >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2049";"Stachys annua";5752;"STCHANN";"SPE";"S";"Stachys annua";"A";"3";3;3;"N Vp";"";"s >";"1";NA;"";"";"";"";NA;"";"1";"";3;"";"";NA;"";"";NA;NA;NA;NA;"Segetal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2050";"Stachys arvensis";5754;"STCHARV";"SPE";"S";"Stachys arvensis";"A";"3";3;2;"x";"";"s >>, fr z";"1";NA;"";"";"";"";NA;"";"2";"";3;"";"";3;"!";"K18";NA;NA;NA;NA;"Segetal";"";"";"12.1.3";"ACE";"Extensivacker";"-";"33.03.01 /02
33.04.01 /02
33.05.01 /02";"";"";"";"o";"Angepasste Ackerbewirtschaftung";"";"";"bisher keine"
"2051";"Stachys germanica";5757;"STCHGER";"SPE";"S";"Stachys germanica";"I";"3";3;2;"NW x";"";"ss >, fr s";"1";NA;"";"";"";"";NA;"";"1";"3";NA;"";"";NA;"";"x";NA;NA;NA;NA;"6210";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2052";"Stachys palustris";5760;"STCHPAL";"SPE";"S";"Stachys palustris";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2053";"Stachys recta";5764;"STCHREC";"SPE";"S";"Stachys recta";"I";"1";1;1;"NW x";"";"z >";"2";NA;"";"";"";"";NA;"";"2";"3";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2054";"Stachys sylvatica";5766;"STCHSYL";"SPE";"S";"Stachys sylvatica";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2055";"Stellaria alsine";5769;"STLLALS";"SPE";"S";"Stellaria alsine";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2056";"Stellaria crassifolia";5770;"STLLCRA";"SPE";"S";"Stellaria crassifolia";"I";"1";1;1;"x";"";"fr z";"0";NA;"";"";"!!";"";NA;"[!!]";"0";"";1;"";"";NA;"(!)";"-";NA;NA;NA;NA;"7230";"";"";"7.3.1";"MZB";"Basen-Zwischenmoor";"§ 20";"36.02.01";"W42";"";"";"M1";"Ungestörte Naturentwicklung schwach bis mäßig entwässerter Moore";"flankierende Maßnahmen zur Verbesserung des Naturhaushaltes";"";""
"2057";"Stellaria graminea";5771;"STLLGRA";"SPE";"S";"Stellaria graminea";"I";"3";2;2;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2058";"Stellaria holostea";5772;"STLLHOL";"SPE";"S";"Stellaria holostea";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2059";"Stellaria neglecta";5776;"STLLNEG";"SPE";"S";"Stellaria neglecta";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2060";"Stellaria nemorum subsp. montana";7414;"STLLGLO";"SSP";"S";"Stellaria nemorum subsp. montana";"I";"1";1;1;"x";"";"(vermutlich) z";"D";245;"!";"";"";"";2;"?";"";"";NA;"";"";3;"!";"-";NA;NA;NA;NA;"9110";"91";"";"";"WBR";"Feuchter Buchenwald mäßig nährstoffversorgter Standorte";"-";"(43.07)";"B 11, B12";"";"";"W1";"Ungestörte Entwicklung naturnaher Wälder";"Flankierende Maßnahmen zur Stabilisierung des Wasserhaushaltes";"";"Naturwaldparzellen, Kernzonen Schutzgebiete"
"2061";"Stellaria nemorum subsp. nemorum";5780;"STLLNEM";"SSP";"S";"Stellaria nemorum subsp. nemorum";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2062";"Stellaria pallida";5777;"STLLAPE";"SPE";"S";"Stellaria pallida";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2063";"Stellaria palustris";11573;"STLLPAL";"SPE";"S";"Stellaria palustris";"I";"1";1;1;"x";"";"z, fr v";"3";NA;"";"";"";"";NA;"";"3";"";3;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2064";"Stipa borysthenica subsp. borysthenica";26626;"STIPBOR";"SSP";"S";"Stipa borysthenica";"I";"3";2;2;"N x";"";"ss";"1";10;"(!)";"!!!";"!!";"§";10;"!!!";"0";"";2;"";"§";2;"";"x";6240;NA;NA;NA;"";"";"x";"8.6.1";"TTK";"Steppen- und Trockenrasen";"§ 20";"34.01, 34.03";"";"";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"";"";"Naturschutzgerechte Grünlandnutzung, Landschaftspflege"
"2065";"Stipa capillata";5786;"STIPCAP";"SPE";"S";"Stipa capillata";"I";"3";2;2;"N x";"";"ss";"1";75;"";"";"!!";"§";4;"!!!";"0";"2";3;"";"§";2;"";"O22.2, 22.2.1.1";6240;NA;NA;NA;"";"";"xx";"8.6.1";"TTK";"Steppen- und Trockenrasen";"§ 20";"34.01, 34.03";"";"";"";"T1";"Pflegende Nutzung und Offenhaltung von Trockenstandorten";"";"";"Naturschutzgerechte Grünlandnutzung, Landschaftspflege"
"2066";"Stratiotes aloides";5806;"STRTALO";"SPE";"S";"Stratiotes aloides";"I";"1";1;1;"x";"";"z >";"3";320;"";"";"";"§";1;"-";"2";"";3;"";"§";9;"!!!";"V01.1.2, 01.1.2.1";3150;NA;NA;NA;"";"";"xx";"5.10.3";"SEL";"Wasserlinsen-, Froschbiss- und Krebsscheren-Schwimmdecke";"§ 20, § 30";"(24.04)";"W20, W30";"SCG";"";"B1";"Sicherung der Wasserqualität naturnaher Gewässer";"Gewässerschonende Nutzung";"";"WRRL, Schutzgebiete"
